epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3777,3.83347,6.50384,1.48427,0,0,0,0,2.67855,4.28644,1.02325,0.000462324,0.000462324,0.000462324
2,64.2127,2.46341,2.96459,0.99359,0.01211,0.08186,0.01155,0.00379,2.33253,3.59117,0.99196,0.000929364,0.000929364,0.000929364
3,84.4002,2.19561,2.2966,0.94235,0.58038,0.07801,0.17057,0.04339,2.51347,2.88845,0.98201,0.00138697,0.00138697,0.00138697
4,103.439,2.08238,1.94664,0.92781,0.49263,0.36497,0.47765,0.21479,1.80868,1.80537,0.89351,0.00138656,0.00138656,0.00138656
5,123.594,2.04555,1.75494,0.92882,0.56272,0.64707,0.58859,0.24239,1.89142,1.43628,0.89955,0.00137241,0.00137241,0.00137241
6,142.721,1.95277,1.60812,0.91516,0.55808,0.6274,0.62948,0.25747,1.83034,1.41738,0.87673,0.00135826,0.00135826,0.00135826
7,162.052,1.89185,1.48925,0.90205,0.58736,0.72932,0.65411,0.28941,1.69963,1.20234,0.87053,0.00134412,0.00134412,0.00134412
8,182.14,1.83159,1.38553,0.90162,0.73373,0.7381,0.74418,0.33313,1.70413,1.07806,0.87228,0.00132997,0.00132997,0.00132997
9,201.347,1.79835,1.30378,0.88559,0.72294,0.78956,0.78529,0.37215,1.63776,0.99269,0.86509,0.00131582,0.00131582,0.00131582
10,221.601,1.80917,1.26179,0.89412,0.72563,0.81854,0.8072,0.37629,1.66776,0.94252,0.87309,0.00130168,0.00130168,0.00130168
11,240.796,1.79883,1.20275,0.89266,0.72632,0.81601,0.80809,0.36086,1.62708,0.92433,0.86236,0.00128753,0.00128753,0.00128753
12,260.192,1.73667,1.13448,0.88668,0.73055,0.78291,0.82817,0.39291,1.6215,0.95351,0.86127,0.00127338,0.00127338,0.00127338
13,280.48,1.73679,1.0701,0.87997,0.86648,0.83597,0.88532,0.42444,1.58317,0.87179,0.859,0.00125923,0.00125923,0.00125923
14,298.765,1.71187,1.04505,0.8872,0.87081,0.85999,0.89037,0.42913,1.5713,0.83868,0.85585,0.00124509,0.00124509,0.00124509
15,319.637,1.7145,1.00055,0.88687,0.91024,0.87928,0.92007,0.43877,1.58592,0.82155,0.85947,0.00123094,0.00123094,0.00123094
16,338.49,1.69169,0.96406,0.87921,0.92032,0.85981,0.91881,0.43633,1.5757,0.85655,0.85756,0.00121679,0.00121679,0.00121679
17,357.088,1.66305,0.95045,0.87252,0.87908,0.8614,0.86469,0.3992,1.6282,0.82067,0.86795,0.00120265,0.00120265,0.00120265
18,377.526,1.70973,0.9498,0.88018,0.91511,0.87654,0.91762,0.43857,1.58837,0.8063,0.85435,0.0011885,0.0011885,0.0011885
19,396.079,1.66853,0.9243,0.8778,0.9041,0.89746,0.91965,0.4587,1.56076,0.78769,0.85463,0.00117435,0.00117435,0.00117435
20,416.422,1.64907,0.89297,0.87327,0.84176,0.83669,0.86088,0.41305,1.59748,0.84765,0.86799,0.00116021,0.00116021,0.00116021
21,435.602,1.71283,0.91539,0.87427,0.88489,0.81683,0.8958,0.38068,1.78673,0.89341,0.87201,0.00114606,0.00114606,0.00114606
22,454.519,1.67686,0.89217,0.87447,0.92762,0.91523,0.91604,0.46145,1.53585,0.77431,0.85694,0.00113191,0.00113191,0.00113191
23,474.844,1.60496,0.85486,0.86578,0.90517,0.90271,0.91619,0.44706,1.5685,0.77277,0.85558,0.00111776,0.00111776,0.00111776
24,493.556,1.63678,0.853,0.86694,0.90683,0.88896,0.88936,0.43906,1.55903,0.76766,0.85644,0.00110362,0.00110362,0.00110362
25,513.098,1.65925,0.84461,0.86963,0.9135,0.89596,0.93544,0.45097,1.63202,0.7972,0.85617,0.00108947,0.00108947,0.00108947
26,532.947,1.63149,0.83502,0.87437,0.89285,0.87241,0.88523,0.42805,1.57536,0.80996,0.86116,0.00107532,0.00107532,0.00107532
27,551.464,1.60332,0.80548,0.86992,0.93111,0.92102,0.93846,0.46408,1.56475,0.73171,0.85569,0.00106118,0.00106118,0.00106118
28,571.548,1.57779,0.79769,0.86418,0.92055,0.90351,0.91729,0.4589,1.52388,0.74179,0.85346,0.00104703,0.00104703,0.00104703
29,590.735,1.58931,0.79605,0.87148,0.91425,0.91094,0.93212,0.46027,1.52728,0.74562,0.85032,0.00103288,0.00103288,0.00103288
30,610.062,1.61267,0.79367,0.8641,0.93868,0.8704,0.93589,0.4615,1.52806,0.76458,0.85094,0.00101873,0.00101873,0.00101873
31,629.612,1.56892,0.78643,0.86275,0.91146,0.90844,0.91882,0.46084,1.52765,0.73674,0.85091,0.00100459,0.00100459,0.00100459
32,650.208,1.56909,0.77725,0.8647,0.90025,0.89671,0.89034,0.4426,1.54589,0.76878,0.85549,0.00099044,0.00099044,0.00099044
33,671.859,1.55875,0.7665,0.86287,0.92845,0.90547,0.93496,0.46427,1.54218,0.72987,0.84961,0.000976293,0.000976293,0.000976293
34,691.461,1.54759,0.76052,0.85888,0.93192,0.94148,0.94159,0.46845,1.54839,0.71853,0.85022,0.000962146,0.000962146,0.000962146
35,712.906,1.51226,0.73559,0.85807,0.9256,0.90727,0.92204,0.46361,1.57155,0.74028,0.85602,0.000947999,0.000947999,0.000947999
36,732.122,1.55192,0.74509,0.86095,0.91217,0.93126,0.93388,0.46432,1.52872,0.72198,0.85352,0.000933851,0.000933851,0.000933851
37,751.66,1.53339,0.74225,0.86216,0.90685,0.91714,0.91292,0.44963,1.52699,0.71608,0.85352,0.000919704,0.000919704,0.000919704
38,771.613,1.51711,0.74161,0.85346,0.93683,0.91042,0.93038,0.4634,1.54101,0.72605,0.85541,0.000905557,0.000905557,0.000905557
39,790.519,1.57454,0.74409,0.8647,0.9407,0.91139,0.91536,0.46426,1.53056,0.71672,0.8501,0.00089141,0.00089141,0.00089141
40,811.246,1.53615,0.74358,0.85364,0.92102,0.92071,0.94132,0.473,1.53271,0.70612,0.84853,0.000877263,0.000877263,0.000877263
41,830.263,1.51212,0.71329,0.85693,0.93217,0.93215,0.9383,0.47414,1.49371,0.71111,0.8454,0.000863116,0.000863116,0.000863116
42,851.307,1.5316,0.71577,0.85916,0.94387,0.91547,0.94227,0.47662,1.51721,0.72786,0.84818,0.000848969,0.000848969,0.000848969
43,871.059,1.48176,0.71228,0.85275,0.92021,0.9238,0.92651,0.45963,1.48239,0.71448,0.84629,0.000834822,0.000834822,0.000834822
44,890.519,1.49594,0.70701,0.85094,0.93579,0.9229,0.93434,0.47357,1.49261,0.68709,0.8461,0.000820675,0.000820675,0.000820675
45,910.677,1.48809,0.70137,0.85017,0.91895,0.92607,0.92279,0.45362,1.51044,0.70883,0.84924,0.000806528,0.000806528,0.000806528
46,929.946,1.46861,0.69333,0.84796,0.94846,0.92532,0.94314,0.47584,1.48751,0.69141,0.84591,0.00079238,0.00079238,0.00079238
47,949.836,1.46954,0.6886,0.85533,0.94798,0.92973,0.92592,0.47436,1.53354,0.71462,0.84748,0.000778233,0.000778233,0.000778233
48,969.064,1.46537,0.68647,0.84632,0.93489,0.92596,0.9316,0.47306,1.53881,0.68702,0.84871,0.000764086,0.000764086,0.000764086
49,987.723,1.46352,0.69372,0.85818,0.94632,0.90928,0.92098,0.45752,1.49333,0.69197,0.84997,0.000749939,0.000749939,0.000749939
50,1008.19,1.45447,0.68859,0.85018,0.92508,0.92575,0.90932,0.45881,1.47012,0.70136,0.84602,0.000735792,0.000735792,0.000735792
51,1027.14,1.49158,0.69417,0.86194,0.94275,0.92712,0.92909,0.47918,1.47445,0.6847,0.84504,0.000721645,0.000721645,0.000721645
52,1047.39,1.44423,0.68023,0.84946,0.92193,0.91793,0.93553,0.48087,1.4729,0.67714,0.84487,0.000707498,0.000707498,0.000707498
53,1066.69,1.46496,0.67868,0.84879,0.9363,0.92045,0.93769,0.47454,1.51741,0.67534,0.85166,0.000693351,0.000693351,0.000693351
54,1085.88,1.46623,0.68417,0.85189,0.92978,0.93495,0.94182,0.47948,1.47633,0.6811,0.84762,0.000679204,0.000679204,0.000679204
55,1106.09,1.42018,0.66245,0.8446,0.94044,0.92514,0.93389,0.47907,1.48338,0.678,0.84531,0.000665057,0.000665057,0.000665057
56,1125.14,1.44654,0.67083,0.85474,0.9222,0.93236,0.91626,0.47206,1.48759,0.67913,0.84613,0.000650909,0.000650909,0.000650909
